OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
129,"(4716667.100933347, 2246741.997458436)",Calle 29C - Loma del Indio,Calle 29C - Loma del Indio,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1091.5927616605454
130,"(4718337.33138514, 2247723.772318726)",Longitudinal Oriental,Longitudinal Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5739.089824234675
131,"(4716908.760416619, 2249067.2445766837)",Carrera 40,Carrera 40,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,745.9086155108538
132,"(4716845.954574734, 2249493.762366107)",Carrera 40,Carrera 40,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,649.3666896975743
133,"(4716150.807237557, 2249066.5880845063)",Carrera 46 - Avenida Oriental,Carrera 46 - Avenida Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2641.8173573127206
134,"(4715414.732167027, 2244739.3598501394)",Carrera 43A - Avenida El Poblado,Carrera 43A - Avenida El Poblado,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,6490.260227018882
135,"(4713597.027807396, 2248102.1419980126)",Avenida 33,Avenida 33,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4277.126055152515
136,"(4715666.563462131, 2250981.1076564337)",Calle 67,Calle 67,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1656.5447628101388
137,"(4712218.037077226, 2249242.200439548)",Calle 44 - San Juan,Calle 44 - San Juan,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3013.451280272654
138,"(4713522.440031972, 2248515.7954415637)",Circular 1,Circular 1,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,1258.75688950765
139,"(4712520.188013934, 2250554.0575489122)",Carrera 84,Carrera 84,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1331.1771039433386
140,"(4712183.822401806, 2249723.137380968)",Carrera 82,Carrera 82,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,762.4429697893518
141,"(4712186.862107681, 2250593.7330511003)",Carrera 82B,Carrera 82B,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,815.8210375670345
142,"(4711617.66763055, 2250275.7354378495)",Calle 48,Calle 48,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,636.098650302761
143,"(4712038.222277203, 2250104.393337982)",Carrera 87,Carrera 87,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,615.3640638837584
144,"(4716481.6990606235, 2255888.0501197665)",Carrera 65,Carrera 65,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1942.981962246868
145,"(4713917.200358044, 2251859.6561741214)",Carrera 73,Carrera 73,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1033.03400755327
146,"(4713331.572911585, 2251684.863133842)",Carrera 73,Carrera 73,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,287.74164698675156
147,"(4713901.284368572, 2251704.0247437106)",Calle 71,Calle 71,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,421.89146869944443
148,"(4716975.373253727, 2254619.8771336107)",Carrera 52 - Carabobo,Carrera 52,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3581.0770675577596
149,"(4715411.2016324, 2252030.349791967)",Transversal 78,Transversal 78,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2135.021955735388
150,"(4712660.810536734, 2249726.590458556)",Carrera 79B,Carrera 79B,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1022.2529553555198
151,"(4714065.526314404, 2250462.3948933897)",Carrera 70,Carrera 70,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,467.8814944532069
152,"(4714037.8919721795, 2250286.153618478)",Calle 51 - 53,Ciclocarril,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,1109.5036238467676
153,"(4714458.830717098, 2245764.473146436)",Ciclorruta Carrera 52,Carrera 52,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3296.8175057010385
154,"(4714557.030057051, 2246856.3347000354)",Ciclorruta Carrera 55,Carrera 55,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1154.5791118390075
155,"(4713397.279930401, 2246481.182432738)",Ciclorruta Fase 1,Carrera 70 - Calle 30A,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,3496.2172729694184
156,"(4712758.724813992, 2247499.1893153936)",Carrera 76,Carrera 76,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3357.752808001214
157,"(4713252.340139336, 2248811.938468628)",Carrera 73,Carrera 73,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,421.7824645181851
158,"(4713193.212609756, 2249349.49778252)",Carrera 74 - 75,Carrera 74 - 75,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,987.8448592066134
159,"(4713904.584246559, 2249168.807898105)",Avenida San Juan,Avenida San Juan,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2953.573600984429
160,"(4716080.345380728, 2248556.8992893035)",Avenida San Juan,Avenida San Juan,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,387.2310659245995
161,"(4715617.576170488, 2248732.030828348)",Avenida San Juan,Avenida San Juan,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,602.7129637530865
162,"(4712235.253019639, 2245582.551140782)",Carrera 76,Carrera 76,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1064.4474252087052
163,"(4713613.279111135, 2244896.7177391592)",Ciclorruta Fase 1,Calle 2 - Carrera 67,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,1017.8198011194418
164,"(4715687.519781635, 2242282.139653981)",Calle 16A Sur,Calle 16A Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1842.6661624787341
165,"(4716862.503855737, 2243270.9872148903)",Transversal Superior,Transversal Superior,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5070.566488491784
166,"(4716307.495139608, 2243557.800393074)",Transversal Inferior,Transversal Inferior,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4453.28623314278
167,"(4715745.53791265, 2242940.0513342465)",Calle 12 Sur - Loma Los Balsos,Calle 12 Sur - Loma Los Balsos,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,599.5561322327576
168,"(4716863.5253362395, 2246347.2600185787)",Longitudinal Oriental,Longitudinal Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,889.587603121878
169,"(4717158.196415622, 2245670.910529253)",Carretera Las Palmas,Carretera Las Palmas,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3876.287277365881
170,"(4717564.853998485, 2243902.7218576414)",Carrera 15 Longitudinal Oriental,Carrera 15 Longitudinal Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3747.933321097831
171,"(4708169.801734224, 2252711.521067469)",San Cristóbal,Anillo Cabecera San Cristóbal,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2390.7023596977174
